OpenTDB Trivia Questions — 5248 verified,,,,,,,,
,,,,,,,,
#,Category,Difficulty,Type,Question,Correct Answer,Incorrect 1,Incorrect 2,Incorrect 3
42,Entertainment: Musicals & Theatres,Medium,Multiple Choice,"The Andrew Lloyd Webber musical ""Cats"" is based off a book of poems written by which author?",T.S. Elliot,Andrew Lloyd Webber,Emily Dickenson,Robert Frost
43,Entertainment: Video Games,Medium,Multiple Choice,"Which of these features was added in the 1994 game ""Heretic"" that the original ""DOOM"" could not add due to limitations?",Looking up and down,Increased room sizes,Unlimited weapons,Highly-detailed textures
44,Science: Mathematics,Easy,Multiple Choice,What prime number comes next after 19?,23,25,21,27
45,Entertainment: Video Games,Medium,Multiple Choice,"In the video game ""Pizza Tower"", what is the protagonist's name?",Peppino,Pastachio,Pepper,Spinachio
46,Science: Computers,Medium,Multiple Choice,What is the name of the default theme that is installed with Windows XP?,Luna,Neptune,Whistler,Bliss
47,Entertainment: Video Games,Easy,True / False,Rebecca Chambers does not appear in any Resident Evil except for the original Resident Evil and the Gamecube remake.,False,True,,
48,Mythology,Medium,True / False,"According to Norse mythology, Loki is a mother.",True,False,,
49,Entertainment: Video Games,Medium,Multiple Choice,Which franchise had a special event hosted in the popular MMORPG Final Fantasy XIV: A Realm Reborn?,Yo-kai Watch,Pokémon,Yu-gi-oh,Buddyfight
50,Entertainment: Books,Easy,Multiple Choice,"What was the name of Captain Nemo's submarine in ""20,000 Leagues Under the Sea""?",The Nautilus,The Neptune,The Poseidon  ,The Atlantis
51,Entertainment: Music,Hard,Multiple Choice,Which member of the Wu-Tang Clan had only one verse in their debut album Enter the Wu-Tang (36 Chambers)?,Masta Killa,Method Man,Inspectah Deck,GZA
52,Science & Nature,Hard,Multiple Choice,Which moon is the only satellite in our solar system to possess a dense atmosphere?,Titan,Europa,Miranda,Callisto
53,Entertainment: Board Games,Easy,Multiple Choice,"When was the board game Twister, released to the public?",April 1966,September 1965,January 1969,February 1966
54,Entertainment: Video Games,Easy,Multiple Choice,"In the game Half-Life, which enemy is showcased as the final boss?",The Nihilanth,Dr. Wallace Breen,G-Man,The Gonarch
55,Entertainment: Video Games,Hard,Multiple Choice,"What is the default name of the Vampire character in ""Shining Soul 2"".",Bloodstar,Sachs,Dracuul,Alucard
56,History,Hard,Multiple Choice,The assassination of which royal led to the start of World War I?,Archduke Franz Ferdinand,Louis Mountbatten,King Charles I,Nicholas II
57,Entertainment: Video Games,Medium,Multiple Choice,"In Fallout: New Vegas, upon starting each one of the four campaign DLCs, which one of them does not have a warning screen/recommended level? ",Honest Hearts ,Old World Blues,Lonesome Road,Dead Money
58,Entertainment: Music,Medium,Multiple Choice,Which one of these rappers is NOT a member of the rap group Wu-Tang Clan?,Dr.Dre,Ol' Dirty Bastard,GZA,Method Man
59,Sports,Medium,Multiple Choice,Which Formula One driver was nicknamed 'The Professor'?,Alain Prost,Ayrton Senna,Niki Lauda,Emerson Fittipaldi
60,History,Hard,True / False,The Emus won the Great Emu War of 1932.,True,False,,
61,Entertainment: Television,Easy,Multiple Choice,"In AMC's TV Series ""The Walking Dead"" what are ""Zombies"" referred to as?",Walkers,Creepers,Maggots,Hell Pigs
62,Geography,Medium,Multiple Choice,What is the capital of Laos?,Vientiane,Tarawa,Vaduz,Tegucigalpa
63,General Knowledge,Easy,Multiple Choice,"In ""Shrek"", what comedic actor voices Donkey?",Eddie Murphy,Chris Rock,Richard Pryor,Bernie Mac
64,Science & Nature,Hard,Multiple Choice,What is the molecular formula of Ozone?,O3,C6H2O6,N2O,SO4
65,Science: Computers,Medium,True / False,"FLAC stands for ""Free Lossless Audio Condenser""'",False,True,,
66,Science & Nature,Medium,True / False,"Scientists accidentally killed the once known world's oldest living creature, a mollusc, known to be aged as 507 years old.",True,False,,
67,History,Medium,Multiple Choice,In what year was the famous 45 foot tall Hollywood sign first erected?,1923,1903,1913,1933
68,Vehicles,Medium,Multiple Choice,Which of the following countries has officially banned the civilian use of dash cams in cars?,Austria,United States,Czechia,South Korea
69,Art,Easy,Multiple Choice,Which Van Gogh painting depicts the view from his asylum in Saint-Rémy-de-Provence in southern France?,The Starry Night,Wheatfields with Crows,The Sower with Setting Sun,The Church at Auvers
70,Entertainment: Japanese Anime & Manga,Medium,Multiple Choice,Which JoJo's Bizarre Adventure character possesses the Stand named Silver Chariot?,Jean Pierre Polnareff,Noriaki Kakyoin,Hol Horse,Hermes Costello
71,Politics,Medium,Multiple Choice,Who was the 40th President of the USA?,Ronald Reagan,Jimmy Carter,Bill Clinton,Richard Nixon
72,Science: Mathematics,Medium,Multiple Choice,What is the derivative of sin(x),cos(x),csc(x),-cos(x),-sin(x)
73,Entertainment: Music,Easy,Multiple Choice,What is the best selling album of all time from 1976 to 2018?,Thriller,Back in Black,Abbey Road,The Dark Side of the Moon
74,Geography,Easy,True / False,Nova Scotia is on the east coast of Canada.,True,False,,
75,Science & Nature,Medium,Multiple Choice,Which chemical element was originally known as Alabamine?,Astatine,Selenium,Antimony,Molybdenum
76,Entertainment: Music,Medium,Multiple Choice,"What year was Red Hot Chill Pepper's album ""Californication"" released?",1999,1997,2000,1992
77,General Knowledge,Easy,Multiple Choice," Which chemical element, number 11 in the Periodic table, has the symbol Na?",Sodium,Carbon,Lead,Nitrogen
78,Entertainment: Books,Hard,Multiple Choice,"Who wrote the novel ""Moby-Dick""?",Herman Melville,William Golding,William Shakespeare,J. R. R. Tolkien
79,History,Easy,Multiple Choice,What year did the Titanic sink?,1912,1930,1917,1941
80,Entertainment: Board Games,Easy,Multiple Choice,Which one of these is not a real game in the Dungeons & Dragons series?,Extreme Dungeons & Dragons,Advanced Dungeons & Dragons,Dungeons & Dragons 3.5th edition,Advanced Dungeons & Dragons 2nd edition
81,Entertainment: Video Games,Hard,True / False,"The first ""Metal Gear"" game was released for the PlayStation 1.",False,True,,
82,Entertainment: Music,Medium,Multiple Choice,Who was walking like an Egyptian in 1981?,The Bangles,R.E.M.,The Ocean Blue,The Connells
83,Entertainment: Film,Medium,Multiple Choice,"In the 2002 film ""Kung Pow! Enter the Fist"", Master Pain changes his name to what?",Betty,Sally,Amy,Kitty
84,Entertainment: Video Games,Medium,Multiple Choice,Who is the English voice actor for Sora from the Kingdom Hearts series?,Haley Joel Osment,Kōki Uchiyama,Jesse McCartney,Miyu Irino
85,Entertainment: Japanese Anime & Manga,Hard,Multiple Choice,"Which animation studio animated ""Psycho Pass""?",Production I.G,Kyoto Animation,Shaft,Trigger
86,History,Easy,Multiple Choice,In which year was Nelson Mandela released from prison,1990,1994,1992,1980
87,Entertainment: Board Games,Medium,True / False,Wooden molding scraps were used to make the original Monopoly houses and hotels.,True,False,,
88,Art,Hard,Multiple Choice,"When was Salvador Dali's painting, ""The Persistence of Memory,"" completed?",1931,1932,1929,1934
89,Geography,Easy,True / False,"There is an island in Japan called Ōkunoshima, A.K.A. ""Rabbit Island"", so named because of it's huge population of rabbits.",True,False,,
90,Celebrities,Easy,Multiple Choice,What was James Coburn's last film role before his death?,American Gun,Monsters Inc,Texas Rangers,Snow Dogs
91,Science: Computers,Hard,Multiple Choice,What was the name of the security vulnerability found in Bash in 2014?,Shellshock,Heartbleed,Bashbug,Stagefright
92,Entertainment: Film,Easy,Multiple Choice,"In the Super Mario Bros. Movie (2023), who plays Toad?",Keegan-Michael Key,Seth Rogan,Charlie Day,Jack Black
93,Entertainment: Television,Medium,Multiple Choice,Cesar Romero played which iconic Batman villain from the 1960's TV show?,The Joker,The Penguin,The Riddler,Mr. Freeze
94,Mythology,Easy,True / False,"According to Greek Mythology, Zeus can control lightning.",True,False,,
95,Entertainment: Video Games,Easy,True / False,"In the Monster Hunter Series, it is possible to capture Elder Dragons.",False,True,,
96,Entertainment: Video Games,Hard,Multiple Choice,When was Minecraft 1.0 released?,"November 18, 2011","May 17, 2009","December 10, 2014","September 13, 2012"
97,Entertainment: Video Games,Medium,Multiple Choice,Which survivor in Left 4 Dead sacrificed themself to save the other survivors?,Bill,Louis,Francis,Zoey
98,Science: Computers,Hard,Multiple Choice,Which of these Cherry MX mechanical keyboard switches is both tactile and clicky?,Cherry MX Blue,Cherry MX Black,Cherry MX Red,Cherry MX Brown
99,Science & Nature,Medium,Multiple Choice,Au on the Periodic Table refers to which element?,Gold,Silver,Oxygen,Nickel
100,Entertainment: Musicals & Theatres,Easy,Multiple Choice,"Who wrote the award winning musical ""In The Heights""?",Lin-Manuel Miranda,Steven Sondheim,Francis Scott Key,John Phillips Sousa
101,Science & Nature,Hard,Multiple Choice,What genetic disease is caused by having an extra Y chromosome (XYY)?,Jacob's Syndrome,Klinefelter's Syndrome,Turner's Syndrome,Down Syndrome
102,Entertainment: Video Games,Easy,Multiple Choice,Which company is the one responsible for creating the strategy videogame Stellaris?,Paradox Development Studio,Overkill Software,Tripwire Interactive LLC,Ensemble Studios
103,Entertainment: Video Games,Medium,True / False,"The first PlayStation console was released in the USA on December 3rd, 1994.",False,True,,
104,Entertainment: Music,Medium,Multiple Choice,Which of the following music bands is not from Finland?,Sabaton,Apocalyptica,Waltari,Lordi
105,Entertainment: Books,Easy,True / False,"Shub-Niggurath is a creature that was created by J. R. R. Tolkien in his novel ""The Lord of The Rings"".",False,True,,
106,History,Easy,Multiple Choice,What year did World War II end?,1945,1943,1947,1950
107,Entertainment: Video Games,Medium,Multiple Choice,What was the #1 selling game on Steam by revenue in 2016?,Sid Meier's Civilization VI,Grand Theft Auto V,Counter Strike: Global Offensive,Dark Souls III
108,Entertainment: Video Games,Medium,Multiple Choice,What was the first PlayStation game to require the use of the DualShock controller?,Ape Escape,Metal Gear,Tekken ,Tomba 2!
109,Entertainment: Comics,Easy,Multiple Choice,Which superhero is known for his super speed?,Flash,Superman,Batman,Spiderman
110,General Knowledge,Medium,Multiple Choice,"Out of these four buildings, which one is the tallest, with a height of 1,483 ft (451.9 m)?","Petronas Twin Towers, Malaysia","Zifeng Tower, China","Trump Intl. Hotel & Tower, United States","Al Hamra Tower, Kuwait"
111,General Knowledge,Medium,True / False,An eggplant is a vegetable.,False,True,,
112,Entertainment: Film,Medium,Multiple Choice,"What city did the monster attack in the film, ""Cloverfield""?","New York, New York","Las Vegas, Nevada","Chicago, Illinois","Orlando, Florida"
113,Celebrities,Easy,Multiple Choice,By which name is Ramon Estevez better known as?,Martin Sheen,Charlie Sheen,Ramon Sheen,Emilio Estevez
114,Science & Nature,Hard,True / False,It was once believed that injecting shark cartilage into people would prevent them from contracting cancer.,True,False,,
115,Entertainment: Video Games,Easy,Multiple Choice,"What is the name of the world that the MMO ""RuneScape"" takes place in?",Gielinor,Glindor,Azeroth,Zaros
116,History,Easy,True / False,The Cold War ended with Joseph Stalin's death.,False,True,,
117,Geography,Medium,Multiple Choice, What is the only nation that borders both Uruguay and Venezuela?,Brazil,Mexico,Chile,Panama
118,Entertainment: Cartoon & Animations,Medium,True / False,Nickelodeon rejected the pilot to Adventure Time.,True,False,,
119,Entertainment: Television,Easy,True / False,"In ""Star Trek"", Klingons are aliens.",True,False,,
120,Entertainment: Music,Medium,Multiple Choice,Who was the lead singer and frontman of rock band R.E.M?,Michael Stipe,Chris Martin,Thom Yorke,George Michael
121,Entertainment: Film,Easy,Multiple Choice,"What movie starring Bruce Willis contains the line ""I see dead people""? ",The Sixth Sense,The Fifth Element,Die Hard,Armageddon
122,Geography,Easy,True / False,Alaska and Hawaii are the only US states that have their own timezones.,True,False,,
123,History,Medium,Multiple Choice,When was the People's Republic of China founded?,"October 1, 1949","April 3, 1947","May 7, 1945","December 6, 1950"
124,Entertainment: Comics,Easy,Multiple Choice,Which planet did Superman come from?,Krypton,Avalon,Xolnar,Starhaven
125,Entertainment: Japanese Anime & Manga,Hard,Multiple Choice,"Who was the Director of the 1988 Anime film ""Grave of the Fireflies""?",Isao Takahata,Hayao Miyazaki,Satoshi Kon,Sunao Katabuchi
126,History,Hard,True / False,"During the Winter War, the amount of Soviet Union soliders that died or went missing was five times more than Finland's.",True,False,,
127,Entertainment: Video Games,Medium,Multiple Choice,"Which musical artist was NOT featured as playable avatars in the game ""DJ Hero""?",Dr. Dre,DJ Shadow,Daft Punk,Grandmaster Flash
128,Art,Hard,Multiple Choice,What nationality was the famous artist Pablo Picasso?,Spanish,French,Italian,German
129,Entertainment: Film,Easy,Multiple Choice,"In the movie ""V for Vendetta,"" what is the date that masked vigilante ""V"" urges people to remember?",November 5th,November 6th,November 4th,September 5th
130,Entertainment: Film,Medium,Multiple Choice, In what movie does Eddie Murphy swap identities with Dan Aykroyd?,Trading Places,Ghostbusters,Coming to America,The Blues Brothers
131,Science: Computers,Hard,Multiple Choice,What major programming language does Unreal Engine 4 use?,C++,Assembly,C#,ECMAScript
132,Science: Computers,Easy,Multiple Choice,HTML is what type of language?,Markup Language,Macro Language,Programming Language,Scripting Language
133,Entertainment: Music,Easy,Multiple Choice,Who is the lead singer of Green Day?,Billie Joe Armstrong,Mike Dirnt,Sean Hughes,Tré Cool
134,Entertainment: Video Games,Medium,Multiple Choice,"In Call Of Duty: Black Ops II, who is the main antagonist?",Raul Menéndez ,Vladimir Makarov ,Frank Woods,DeFalco
135,Entertainment: Video Games,Easy,Multiple Choice,"What are Sans and Papyrus named after in ""Undertale""?",Fonts,Plants,Companies,Ancient writing paper
136,Entertainment: Video Games,Easy,Multiple Choice,In what city in the dystopia alternate future of Half-Life 2 do you first start in?,City 17,City 18,City 6,City 45
137,Entertainment: Video Games,Medium,Multiple Choice,"In Call of Duty: United Offensive, what two soldiers share a name of a video game character?",Gordon & Freeman,Sam & Fisher,Nathan & Drake,Dig & Dug
138,Science & Nature,Hard,Multiple Choice,Which of the following liquids is least viscous? Assume temperature is 25°C.,Acetone,Water,Mercury,Benzene
139,Entertainment: Comics,Hard,Multiple Choice,In what Homestuck Update was [S] Game Over released?,"October 25th, 2014","April 13th, 2009","April 8th, 2012","August 28th, 2003"
140,Entertainment: Television,Medium,Multiple Choice,"Which of the following was not an actor/actress on the American television show ""Saturday Night Live"" in Season 42?",Tina Fey,Mikey Day,Kate McKinnon,Sasheer Zamata
141,Science & Nature,Hard,Multiple Choice,Which of the following elements is typically used in the doping of the semiconductor silicon?,Boron,Oxygen,Carbon,Iron
142,General Knowledge,Easy,Multiple Choice,"What is Cuba's official, most widely spoken language?",Spanish,Portuguese,French,Italian
143,Geography,Easy,Multiple Choice,Harvard University is located in which city?,Cambridge,Providence,New York,Washington D.C.
144,Entertainment: Books,Medium,Multiple Choice,"What is the make and model of the tour vehicles in ""Jurassic Park"" (1990)?",1989 Toyota Land Cruiser,1989 Jeep Wrangler YJ Sahar,1989 Ford Explorer XLT,Mercedes M-Class
145,Geography,Medium,Multiple Choice,In which English county is Stonehenge?,Wiltshire,Somerset,Cumbria,Herefordshire
146,Entertainment: Video Games,Easy,Multiple Choice,When was the game 'Portal 2' released?,2011,2014,2009,2007
147,Art,Medium,Multiple Choice,Which of these paintings did Johannes Vermeer not paint?,Bacchus,Girl with a Pearl Earring,The Milkmaid,The Lacemaker
148,General Knowledge,Easy,Multiple Choice,What is the name of the antagonist group in Danganronpa Another Episode: Ultra Despair Girls?,Warriors of Hope,The Monokubs,Warriors of Despair,The Ultimate Despair
149,Entertainment: Music,Easy,Multiple Choice,Which country does the band Rammstein hail from?,Germany,Austria,Armenia,Belgium
150,Entertainment: Video Games,Easy,Multiple Choice,"In the game Nuclear Throne, what character is only usable in a play through with Melting?",Skeleton,Frog,Horror,Plant
151,Entertainment: Musicals & Theatres,Medium,Multiple Choice,What was George Bizet's last opera?,Carmen,Don Rodrigue,Grisélidis,Les pêcheurs de perles
152,Science: Gadgets,Easy,Multiple Choice,When was the Tamagotchi digital pet released?,1996,1989,1992,1990
153,Entertainment: Board Games,Easy,True / False,"When setting up a chess board, the king is placed on a square of his own color.",False,True,,
154,Entertainment: Video Games,Medium,Multiple Choice,This weapon in Counter-Strike: Global Offensive does not exist in real life.,M4A4,AWP,M4A1,MP9
155,Entertainment: Video Games,Easy,Multiple Choice,When was Left 4 Dead 2 released?,"November 17, 2009","May 3, 2008","November 30, 2009","June 30, 2010"
156,Entertainment: Film,Medium,Multiple Choice,"In the 2002 film ""Kung Pow! Enter the Fist"", why was Wimp Lo purposely trained wrong?",As a joke,For cheating,Revenge,To test him
157,Sports,Medium,Multiple Choice,Which team was the 2015-2016 NBA Champions?,Cleveland Cavaliers,Golden State Warriors,Toronto Raptors,Oklahoma City Thunders
158,Science & Nature,Medium,Multiple Choice,What are human nails made of?,Keratin,Bone,Chitin,Calcium
159,General Knowledge,Medium,True / False,Fast food restaurant chains Carl's Jr. and Hardee's are owned by the same company.,True,False,,
160,Science: Computers,Medium,True / False,AMD created the first consumer 64-bit processor.,True,False,,
161,Geography,Medium,Multiple Choice,How many countries are inside the United Kingdom?,Four,Two,Three,One
162,General Knowledge,Hard,Multiple Choice,Which one of these Swedish companies was founded in 1943?,IKEA,H & M,Lindex,Clas Ohlson
163,Entertainment: Video Games,Medium,Multiple Choice,Which of the following is not a real Pokémon?,Luminid,Dragalge,Mandibuzz,Araquanid
164,History,Hard,Multiple Choice,Who was the first man to travel into outer space?,Yuri Gagarin,"Virgil Ivan ""Gus"" Grissom",Neil Armstrong,Buzz Aldrin
165,Entertainment: Video Games,Easy,Multiple Choice,"In ""Civilization 5"", which civilization can only settle one city?",Venice,India,Liechtenstein,Portugal
166,Science: Computers,Easy,Multiple Choice,"In any programming language, what is the most common way to iterate through an array?",'For' loops,'If' Statements,'Do-while' loops,'While' loops
167,Sports,Easy,Multiple Choice,"Which city did the former NHL team ""The Nordiques"" originiate from?",Quebec City,Houston,Montreal,New York
168,Science & Nature,Hard,Multiple Choice,What is the scientific name of the knee cap?,Patella,Femur,Foramen Magnum,Scapula
169,Entertainment: Japanese Anime & Manga,Easy,True / False,Gosho Aoyama Made This Series: (Detective Conan / Case Closed!),True,False,,
170,Entertainment: Television,Easy,Multiple Choice,What TV show is about a grandfather dragging his grandson around on adventures?,Rick & Morty,Family Guy,South Park,American Dad
171,Entertainment: Video Games,Medium,Multiple Choice,"In the game series ""The Legend of Zelda"", what was the first 3D game?",Ocarina of Time,Majora's Mask,A Link to the Past,The Wind Waker
172,Sports,Medium,True / False,"In 2008, Usain Bolt set the world record for the 100 meters with one shoelace untied.",True,False,,
173,Entertainment: Music,Medium,Multiple Choice,What is the first track on Kanye West's 808s & Heartbreak?,Say You Will,Welcome to Heartbreak,Street Lights,Heartless
174,Geography,Medium,Multiple Choice,The land mass of modern day Turkey is called what?,Anatolia,Ismuth of Ottoma,Ottoma,Ismuth of Anatolia
175,Art,Hard,Multiple Choice,Painter Piet Mondrian (1872 - 1944) was a part of what movement?,Neoplasticism,Precisionism,Cubism,Impressionism
176,Entertainment: Video Games,Hard,Multiple Choice,"In ""Pokémon Sun and Moon"", Team Skull took over which town?",Po Town,Heahea City,Tapu Village,Iki Town
177,General Knowledge,Hard,Multiple Choice,"Which of the following is an existing family in ""The Sims""?",The Goth Family,The Family,The Simoleon Family,The Proud Family
178,General Knowledge,Easy,Multiple Choice,How many cards are there in a standard deck of playing cards?,52,32,40,64
179,Entertainment: Video Games,Medium,True / False,"TF2: The Heavy's voice actor, Gary Schwartz, voices the Demoman as well ",True,False,,
180,General Knowledge,Medium,True / False,Haggis is traditionally ate on Burns Night.,True,False,,
181,Entertainment: Film,Easy,Multiple Choice,"In the movie ""Spaceballs"", what are the Spaceballs attempting to steal from Planet Druidia?",Air,The Schwartz,Princess Lonestar,Meatballs
182,Science & Nature,Hard,Multiple Choice,Which of the following are cells of the adaptive immune system?,Cytotoxic T cells,Dendritic cells,Natural killer cells,White blood cells
183,Geography,Hard,Multiple Choice,What is the capital of Suriname?,Paramaribo,Antananarivo,Tegucigalpa,Sucre
184,General Knowledge,Easy,Multiple Choice,"Of the following months, which has the most amount of days?",December,April,September,November 
185,General Knowledge,Easy,Multiple Choice,"When someone is cowardly, they are said to have what color belly?",Yellow,Green,Red,Blue
186,Entertainment: Music,Medium,Multiple Choice,"What was the release date of the They Might Be Giants album, 'Mink Car?'","September 11th, 2001","April 17th, 2003","November 4th, 1999","December 20th, 2002"
187,Entertainment: Television,Medium,Multiple Choice,"What is the title of The Allman Brothers Band instrumental used as the theme to the BBC motoring show, 'Top Gear'?",Jessica,Angela,Erica,Sandra
188,Entertainment: Film,Hard,Multiple Choice,"Which of the following films was directed by Ivan Reitman, written by Gary Ross, featured Kevin Kline, and was released in 1993?",Dave,John,Will,Carl
189,Science & Nature,Medium,True / False,Type 1 diabetes is a result of the liver working improperly.,False,True,,
190,General Knowledge,Hard,Multiple Choice,What year was Queen Elizabeth II born?,1926,1923,1929,1930
191,General Knowledge,Medium,True / False,"Don Cheto is the host of the radio station ""East Los FM"" in GTA V.",True,False,,
192,Animals,Medium,Multiple Choice,What is the name of the family that the domestic cat is a member of?,Felidae,Felinae,Felis,Cat
193,Entertainment: Film,Medium,Multiple Choice,"In the 1971 film ""Willy Wonka & the Chocolate Factory"", who played Willy Wonka?",Gene Wilder,Shia LeBouf,Peter Ostrum,Johnny Depp
194,History,Medium,Multiple Choice,"Who famously coined the phrase ""I think, therefore I am""?",Descartes,Plato,Aristotle,Shakespeare
195,Entertainment: Books,Easy,Multiple Choice,Under what pseudonym did Stephen King publish five novels between 1977 and 1984?,Richard Bachman,J. D. Robb,Mark Twain,Lewis Carroll
196,General Knowledge,Easy,Multiple Choice,"The American company ""Campbell's"" is most well known for making what food product?",Canned soups,Chocolate,Soft drinks,Sausages
197,History,Medium,Multiple Choice,In what year did Kentucky become the 15th state to join the union?,1792,1782,1798,1788
198,Entertainment: Television,Medium,Multiple Choice,"In the Black Mirror episode ""Bandersnatch"", PAC-MAN stands for:",Program And Control Man,Postgraduate Aplications Centre Man,Political Action Committee Man,Physics & Astronomy Classification Man
199,Science & Nature,Medium,Multiple Choice,Which portion of the Marijuana plant produces the psychoactive substance known as THC?,Female Flower,Leaves,Male Flower,Root Ball
